issue_key,issue_summary,issue_type,issue_status,issue_resolution,issue_components,issue_description,issue_priority,issue_affects_versions,issue_fix_versions,issue_labels,issue_votes,issue_watchers,issue_created_datetimetz,issue_updated_datetimetz,issue_resolution_datetimetz,issue_creator_id,issue_creator_name,issue_creator_timezone,issue_assignee_id,issue_assignee_name,issue_assignee_timezone,issue_reporter_id,issue_reporter_name,issue_reporter_timezone,project
CAMEL-737,"When getContext().addInterceptorStrategy(new Tracer());  is added in a RouteBuilder class, then the timer component does not work",Bug,Done,Fixed,"","When 

getContext().addInterceptorStrategy(new Tracer());

is added in a RouteBuilder Class, then the timer component does not start.

e.g. 

public class RouteBuilder extends RouteBuilder {

    getContext().addInterceptorStrategy(new Tracer());

    public void configure() {

        from(""timer://export"")
        .to(""bean:myBean"");
    }
}",Major,1.4.0,1.5.0,"",0,0,2008-07-18T13:01:00.000+0000,2009-02-16T05:51:47.000+0000,2008-07-18T18:26:24.000+0000,cmoulliard,Moulliard Charles,Europe/Berlin,davsclaus,Claus Ibsen,Europe/Berlin,cmoulliard,Moulliard Charles,Europe/Berlin,camel
CAMEL-736,camel-http - Misconfiguration of url should have better validation to catch duplicate of http etc.,Improvement,Done,Fixed,camel-http,"The camel-http component uses the http scheme and thus some end-users could by mistake enter the http protocol twice:

http://http://www.google.com etc

The error you get now is something with host is null.

See nabble:
http://www.nabble.com/How-to-define-a-HTTP-Post-destination-in-a-route-in-spring-td18506233s22882.html",Minor,1.4.0,1.5.0,"",0,0,2008-07-18T11:19:18.000+0000,2008-10-23T04:37:12.000+0000,2008-07-18T18:58:40.000+0000,davsclaus,Claus Ibsen,Europe/Berlin,davsclaus,Claus Ibsen,Europe/Berlin,davsclaus,Claus Ibsen,Europe/Berlin,camel
CAMEL-735,JMX Instrumentation - shared endpoints,Improvement,Done,Fixed,camel-core,"We should be sure that when registering the mbean the objectname is really the correct one we use. If its a shared endpoint then we should only have a single instance. If not then we should of course have multi.

And beware the *WebSphere* 6.1 can have issues with the objectname as it prefixes the objectname with its own server context (the /cell/node stuff). 

We should alvoid confusing end-users with ""InstanceAlreadyRegistered"" exceptions with stacktraces, they should not be logged if it's not really a problem.
William Tam has a good grip on this, so we will work together with him to improve it.

See nabble:
http://www.nabble.com/How-can-avoid-to-have-such-error-message-%22instanceAllreadyExistsException%22---td18503700s22882.html",Major,1.4.0,2.0-M1,"",0,1,2008-07-18T05:56:59.000+0000,2009-07-31T06:33:34.000+0000,2009-05-16T14:29:45.000+0000,davsclaus,Claus Ibsen,Europe/Berlin,,,,davsclaus,Claus Ibsen,Europe/Berlin,camel
CAMEL-734,"If directory=false and the file is in the root directory, camel-ftp crashes with index out of bounds",Bug,Done,Fixed,camel-ftp,Using a URI like ftp://localhost/file.txt?directory=false the FtpConsumer will give a index out of bounds exception.,Major,"",1.5.0,"",0,0,2008-07-17T16:15:20.000+0000,2009-02-16T05:51:47.000+0000,2008-07-17T16:57:27.000+0000,gholden,Geoff Holden,Etc/UTC,hadrian,Hadrian Zbarcea,America/New_York,gholden,Geoff Holden,Etc/UTC,camel
CAMEL-733,Header and Trailer have been removed from DataSet object of Flatpack for processing of FixedLengthWithHeaderAndTrailer File,Bug,Done,Duplicate,camel-flatpack,"Hi,

I have discovered that the header/trailer rows have been removed from the DataSet object by the Camel Flatpack component. I have prepared a small junit test case to show you that the records Header / Trailer does not exist anymore. ",Major,1.4.0,1.5.0,"",0,0,2008-07-17T15:35:36.000+0000,2009-02-16T05:51:47.000+0000,2008-08-17T14:14:09.000+0000,cmoulliard,Moulliard Charles,Europe/Berlin,davsclaus,Claus Ibsen,Europe/Berlin,cmoulliard,Moulliard Charles,Europe/Berlin,camel
CAMEL-732,JMX Instrumentation - check for already registered before registering,Improvement,Done,Fixed,camel-core,"Camel does not check for already registered mbeans. There can be shared endpoints in the camel routes etc.

We used to have an instance count and everything but at the end a jms endpoint such as ""activemq:topic:orders"" can be reused in several routes and we should in fact only register it once.",Minor,1.4.0,1.4.0,"",0,0,2008-07-17T08:41:33.000+0000,2008-07-17T12:01:15.000+0000,2008-07-17T11:47:39.000+0000,davsclaus,Claus Ibsen,Europe/Berlin,davsclaus,Claus Ibsen,Europe/Berlin,davsclaus,Claus Ibsen,Europe/Berlin,camel
CAMEL-731,Flatpack to handle header/trails records,Improvement,Done,Fixed,camel-flatpack,"See nabble:
http://www.nabble.com/Component-to-read-FixedLength-file---td18444614s22882.html

post on july-16 by Charles.",Major,1.4.0,1.5.0,"",0,0,2008-07-16T12:12:46.000+0000,2008-10-23T04:37:12.000+0000,2008-08-17T14:28:53.000+0000,davsclaus,Claus Ibsen,Europe/Berlin,davsclaus,Claus Ibsen,Europe/Berlin,davsclaus,Claus Ibsen,Europe/Berlin,camel
CAMEL-730,Upgrade jsch to never version,Task,Done,Fixed,camel-ftp,jsch in pom.xml is old at 0.1.31. Now 0.1.38 is finally at the central maven repo. However 0.1.39 has also just been released. We will upgrade to 0.1.38.,Minor,1.4.0,1.4.0,"",0,0,2008-07-16T08:53:57.000+0000,2008-07-17T12:01:15.000+0000,2008-07-16T08:54:40.000+0000,davsclaus,Claus Ibsen,Europe/Berlin,davsclaus,Claus Ibsen,Europe/Berlin,davsclaus,Claus Ibsen,Europe/Berlin,camel
CAMEL-729,Spring Integration Consumer should support set consumer.delay etc ,Improvement,Done,Fixed,camel-spring-integration,"CAMEL-485 shows the extension of ScheduledPollConsumer should have special consumer options for delay etc.
Current SpringIntegrationEndpoint doesn't extend the ScheduledPollEndpoint.

Also need to update the wiki page.",Major,"",1.4.0,"",0,0,2008-07-16T07:41:03.000+0000,2008-07-23T03:57:32.000+0000,2008-07-16T08:04:29.000+0000,njiang,Willem Jiang,Asia/Shanghai,njiang,Willem Jiang,Asia/Shanghai,njiang,Willem Jiang,Asia/Shanghai,camel
CAMEL-728,Spring-aop don't ship with the camel bin distribution,Bug,Done,Fixed,"","Since Spirng-aop is used when we enable the jmx support for camel by default,  we need to ship that jar in the camel bin distribution.
",Major,"",1.4.0,"",0,0,2008-07-16T04:48:28.000+0000,2008-07-23T03:57:32.000+0000,2008-07-16T05:18:28.000+0000,njiang,Willem Jiang,Asia/Shanghai,njiang,Willem Jiang,Asia/Shanghai,njiang,Willem Jiang,Asia/Shanghai,camel
CAMEL-727,Propagated CXF header's value should not include quotes,Bug,Done,Fixed,camel-cxf,"CAMEL-686 fixed the issue of not propagating transport headers (e.g. SOAPAction) but it looks like we added quotes around the value (i.e. getCustomer becomes ""getCustomer"").  I updated the CustomerServicesTest to illustrate the problem.  Also, I cleaned up the client/server-application.xml.
",Major,1.3.0,1.4.0,"",0,0,2008-07-15T18:35:03.000+0000,2008-07-17T13:13:07.000+0000,2008-07-15T19:35:11.000+0000,wtam@iona.com,William Tam,Etc/UTC,njiang,Willem Jiang,Asia/Shanghai,wtam@iona.com,William Tam,Etc/UTC,camel
CAMEL-726,Exception on using WS-Addressing with Apache Camel as Transport,Bug,Done,Fixed,camel-cxf,"Not sure if this is a bug in CXF or Camel. Please see attached sample project.

--------------------------------------------------

INFO: Interceptor has thrown exception, unwinding now
org.apache.cxf.binding.soap.SoapFault: A header representing a Message Addressing Property is not valid and the message cannot be processed
	at org.apache.cxf.ws.addressing.MAPAggregator.mediate(MAPAggregator.java:375)
	at org.apache.cxf.ws.addressing.MAPAggregator.handleMessage(MAPAggregator.java:159)
	at org.apache.cxf.phase.PhaseInterceptorChain.doIntercept(PhaseInterceptorChain.java:221)
	at org.apache.cxf.transport.ChainInitiationObserver.onMessage(ChainInitiationObserver.java:78)
	at org.apache.camel.component.cxf.transport.CamelDestination.incoming(CamelDestination.java:148)
	at org.apache.camel.component.cxf.transport.CamelDestination$ConsumerProcessor.process(CamelDestination.java:172)
	at org.apache.camel.impl.converter.AsyncProcessorTypeConverter$ProcessorToAsyncProcessorBridge.process(AsyncProcessorTypeConverter.java:43)
	at org.apache.camel.component.direct.DirectProducer.process(DirectProducer.java:59)
	at org.apache.camel.processor.SendProcessor.process(SendProcessor.java:75)
	at org.apache.camel.management.InstrumentationProcessor.process(InstrumentationProcessor.java:57)
	at org.apache.camel.processor.DeadLetterChannel.process(DeadLetterChannel.java:155)
	at org.apache.camel.processor.DeadLetterChannel.process(DeadLetterChannel.java:91)
	at org.apache.camel.management.InstrumentationProcessor.process(InstrumentationProcessor.java:57)
	at org.apache.camel.processor.UnitOfWorkProcessor.process(UnitOfWorkProcessor.java:39)
	at org.apache.camel.util.AsyncProcessorHelper.process(AsyncProcessorHelper.java:41)
	at org.apache.camel.processor.DelegateAsyncProcessor.process(DelegateAsyncProcessor.java:66)
	at org.apache.camel.component.jms.EndpointMessageListener.onMessage(EndpointMessageListener.java:68)
	at org.springframework.jms.listener.AbstractMessageListenerContainer.doInvokeListener(AbstractMessageListenerContainer.java:531)
	at org.springframework.jms.listener.AbstractMessageListenerContainer.invokeListener(AbstractMessageListenerContainer.java:466)
	at org.springframework.jms.listener.AbstractMessageListenerContainer.doExecuteListener(AbstractMessageListenerContainer.java:435)
	at org.springframework.jms.listener.AbstractPollingMessageListenerContainer.doReceiveAndExecute(AbstractPollingMessageListenerContainer.java:322)
	at org.springframework.jms.listener.AbstractPollingMessageListenerContainer.receiveAndExecute(AbstractPollingMessageListenerContainer.java:260)
	at org.springframework.jms.listener.DefaultMessageListenerContainer$AsyncMessageListenerInvoker.invokeListener(DefaultMessageListenerContainer.java:944)
	at org.springframework.jms.listener.DefaultMessageListenerContainer$AsyncMessageListenerInvoker.run(DefaultMessageListenerContainer.java:875)
	at java.lang.Thread.run(Thread.java:595)",Major,1.4.0,1.5.0,"",0,0,2008-07-15T15:28:07.000+0000,2009-02-16T05:51:47.000+0000,2008-07-24T03:13:36.000+0000,ehildebrandt,Eduard Hildebrandt,Etc/UTC,njiang,Willem Jiang,Asia/Shanghai,ehildebrandt,Eduard Hildebrandt,Etc/UTC,camel
CAMEL-725,provide integration with ServingXml for performing XML <-> CSV transforms ,New Feature,Done,Later,"",See: http://servingxml.sourceforge.net/,Major,"",Future,"",0,1,2008-07-15T12:12:03.000+0000,2012-07-06T07:53:32.000+0000,2012-07-06T07:53:31.000+0000,jstrachan,James Strachan,Etc/UTC,,,,jstrachan,James Strachan,Etc/UTC,camel
CAMEL-724,Upgrade to spring integration M5 or later,Task,Done,Fixed,camel-spring-integration,Spring folks has release a M5 that has quite an impact over M4 so there could be some issues Willem need to address in Camel.,Minor,"",1.4.0,"",0,0,2008-07-15T11:41:49.000+0000,2008-07-23T03:57:32.000+0000,2008-07-16T02:45:01.000+0000,davsclaus,Claus Ibsen,Europe/Berlin,njiang,Willem Jiang,Asia/Shanghai,davsclaus,Claus Ibsen,Europe/Berlin,camel
CAMEL-723,CXF - wrapper/unwrapper - camel-cxf should be smarter,Improvement,Done,Fixed,camel-cxf,"Willem knows what this is. See chat log on the july-15-2008.

Basically getBody() should be smart in what kind of situation you are using CXF.",Major,1.4.0,1.5.0,"",0,0,2008-07-15T11:04:34.000+0000,2009-02-16T05:51:47.000+0000,2008-08-26T09:00:01.000+0000,davsclaus,Claus Ibsen,Europe/Berlin,njiang,Willem Jiang,Asia/Shanghai,davsclaus,Claus Ibsen,Europe/Berlin,camel
CAMEL-722,Upgrade to Saxon 9.1.0.1,Improvement,Done,Fixed,camel-saxon,"See CAMEL-702

An end-user had failures with the saxon 9.0 that Camel has dependency to in its pom.xml
We should upgrade to never version of Saxon that fixed this problem. It happens in concurrent situations.

We need to talk with the servicemix people as they host the saxon on their maven repo, Asking them to upgrade would be great.",Minor,1.4.0,1.4.0,"",0,0,2008-07-15T11:03:11.000+0000,2008-07-17T12:01:14.000+0000,2008-07-15T11:37:28.000+0000,davsclaus,Claus Ibsen,Europe/Berlin,,,,davsclaus,Claus Ibsen,Europe/Berlin,camel
CAMEL-721,Log component should use ExchangeFormatter for formatting log output,Improvement,Done,Fixed,camel-core,"Currently log component only logs the payload. We have a nice ExchangeFormatter that can format an exchange with all kind of options.

The options could be enabled on the log component so you can customize your logging. Also there should be a *multiline* option to the exchange formatter so it can log all the stuff on multi lines if for instance there are many options, they get very long.",Minor,1.4.0,1.4.0,"",0,0,2008-07-15T06:56:17.000+0000,2008-07-17T12:01:14.000+0000,2008-07-15T09:33:28.000+0000,davsclaus,Claus Ibsen,Europe/Berlin,davsclaus,Claus Ibsen,Europe/Berlin,davsclaus,Claus Ibsen,Europe/Berlin,camel
CAMEL-720,support CXF REST endpoint in camel,Improvement,Done,Fixed,camel-cxf,"CXF 2.1 implements the JSR311 http://cwiki.apache.org/CXF20DOC/jax-rs-jsr-311.html 
Current camel-cxf need to support this REST endpoint",Major,"",2.0.0,"",0,1,2008-07-15T06:23:44.000+0000,2010-02-07T09:54:15.000+0000,2009-08-03T03:02:53.000+0000,njiang,Willem Jiang,Asia/Shanghai,njiang,Willem Jiang,Asia/Shanghai,njiang,Willem Jiang,Asia/Shanghai,camel
CAMEL-719,CxfBinding will never run into the code in case the messasge body is List.class,Bug,Done,Fixed,camel-cxf,"since CAMEL-709 add getBody method to CxfMessage, so the code in CxfBinding.createCxfMessage()
Object body = in.getBody(InputStream.class); will never always return InputStream object, which means the code will never run into the case that the message body is List.class, but it will break the logic when the MESSAGEFORMAT is POJO for camel-cxf, so we need try to getBody(List.class) firstly to fix it",Major,"",1.4.0,"",0,0,2008-07-15T04:06:18.000+0000,2008-07-23T03:57:32.000+0000,2008-07-15T06:28:27.000+0000,ffang,Freeman Yue Fang,America/Detroit,njiang,Willem Jiang,Asia/Shanghai,ffang,Freeman Yue Fang,America/Detroit,camel
CAMEL-718,Anonymous FTP doesn't work without username,Bug,Done,Fixed,camel-ftp,"The web site for the FTP modules says you can use a URL like ftp://publicftpserver.com/download for anonymous FTP, but this doesn't work unless you specify a username.",Major,1.3.0;1.4.0,1.4.0,"",0,0,2008-07-14T16:27:15.000+0000,2008-07-23T03:57:32.000+0000,2008-07-16T04:43:42.000+0000,gholden,Geoff Holden,Etc/UTC,njiang,Willem Jiang,Asia/Shanghai,gholden,Geoff Holden,Etc/UTC,camel
CAMEL-717,create a flatpack component for fixed width/delimited file handling,New Feature,Done,Fixed,"",see http://flatpack.sourceforge.net/,Major,"",1.4.0,"",0,0,2008-07-14T14:19:33.000+0000,2008-07-23T03:57:32.000+0000,2008-07-14T18:09:05.000+0000,jstrachan,James Strachan,Etc/UTC,jstrachan,James Strachan,Etc/UTC,jstrachan,James Strachan,Etc/UTC,camel
CAMEL-716,can we catch NoClassDefError when trying to load Type converter implementations and try log a better warning about a missing dependency,Improvement,Done,Fixed,"",See the discussion: http://www.nabble.com/Why-some-jars-are-not-part-of-the-Camel-1.4-snapshot-distribution---td18401236s22882.html,Major,"",1.5.0,"",0,0,2008-07-14T13:04:40.000+0000,2009-02-16T05:51:47.000+0000,2008-09-25T08:00:22.000+0000,jstrachan,James Strachan,Etc/UTC,njiang,Willem Jiang,Asia/Shanghai,jstrachan,James Strachan,Etc/UTC,camel
CAMEL-715,ConcurrentModificationException in ThreadProcessor,Bug,Done,Fixed,camel-core,"When defining very simple routing with ThreadProcessor I get ConcurrentModificationException on multicore systems.

Example:
 from(""direct:a"").thread(10).process(new Processor() {

          @Override
          public void process(Exchange ex) throws Exception {
            //sth
          }
});

Stack trace:
Exception in thread ""Thread Processor""
java.util.ConcurrentModificationException
	at java.util.HashMap$HashIterator.nextEntry(HashMap.java:793)
	at java.util.HashMap$EntryIterator.next(HashMap.java:834)
	at java.util.HashMap$EntryIterator.next(HashMap.java:832)
	at java.util.HashMap.putAll(HashMap.java:523)
	at
org.apache.camel.processor.Pipeline.createNextExchange(Pipeline.java:146
)
	at org.apache.camel.processor.Pipeline$1.done(Pipeline.java:123)
	at
org.apache.camel.processor.ThreadProcessor$ProcessCall.run(ThreadProcess
or.j
ava:66)
	at
java.util.concurrent.ThreadPoolExecutor$Worker.runTask(ThreadPoolExecuto
r.ja
va:885)
	at
java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.ja
va:9
07)
	at java.lang.Thread.run(Thread.java:619)


",Major,1.4.0,1.5.0,"",0,2,2008-07-14T10:19:14.000+0000,2017-05-25T20:04:08.000+0000,2008-07-24T05:17:37.000+0000,avatah,Wojciech Durczynski,Etc/UTC,njiang,Willem Jiang,Asia/Shanghai,avatah,Wojciech Durczynski,Etc/UTC,camel
CAMEL-714,Change default DeadLetterChannel strategy in Camel,Improvement,Done,Fixed,"","The current DLC strategy in Camel is to retry 6 times with 1 sec delay. If still failed it will be moved to a log WARN.

This default behavior is not feasible for most end-users, in fact none. We should have a better default strategy in Camel.
Also we should force end-users to setup a strategy from the start.

And we should improve this in the documentation so end-users is aware of this.",Major,1.3.0;1.4.0,2.0-M2,"",0,0,2008-07-14T06:26:10.000+0000,2009-11-21T11:57:54.000+0000,2009-04-02T13:29:45.000+0000,davsclaus,Claus Ibsen,Europe/Berlin,davsclaus,Claus Ibsen,Europe/Berlin,davsclaus,Claus Ibsen,Europe/Berlin,camel
CAMEL-713,FileProducer - consumes file instead of producing!,Bug,Done,Fixed,camel-core,"The strange code in the FileProducer that if the exchange is out capable it will poll the file instead bites us big time.

James must have had a beer and a fancy moment when he created the code. Something with a dynamic receipentlist where the endpoints should be polled from a file but the expression uses a Producer when the endpoints is created. For the file it should consume instead but it doesn't. Any basically it should consume instead.

It also bites us when we send an InOut exchange to the FileProducer it will *not* produce the file but consume it and there is no file so nothing happens.

This code
{code}
public class FileBackupTest extends ContextTestSupport {

    public void testMailGeneration() throws Exception {
        MockEndpoint mock = getMockEndpoint(""mock:result"");
        mock.expectedMessageCount(1);

        template.requestBody(""seda:mails"", ""Hello World"");

        mock.assertIsSatisfied();
    }

    protected RouteBuilder createRouteBuilder() throws Exception {
        return new RouteBuilder() {
            public void configure() throws Exception {
                from(""seda:mails"")
                    .to(""file:target/mails"")
                    .to(""mock:result"");
            }
        };
    }
{code}
Would not create a file in target/mails folder as we are using template.*request* that is an InOut MEP.

I will fix it by removing the strange consumer code in the FileProducer and change the fancy dynamic recepientlist test (SimulatorTest), to not use file based endpoints.

It could be a blocker for the 1.4 release and we should consider creating a new RC!",Critical,1.3.0;1.4.0,1.4.0,"",0,1,2008-07-13T11:50:01.000+0000,2008-07-17T12:01:14.000+0000,2008-07-13T12:35:45.000+0000,davsclaus,Claus Ibsen,Europe/Berlin,davsclaus,Claus Ibsen,Europe/Berlin,davsclaus,Claus Ibsen,Europe/Berlin,camel
CAMEL-712,Xmpp private chat does not work,Bug,Done,Fixed,"","This configuration logs in, presence works, but message is not received by the participant.
{code}
		from(""timer://kickoff?period=10000&delay=1"").
		setBody(constant(""xmpp message"")).
		to(""xmpp://xxxxxxxx@gmail.com/?resource=camel-user&password=xxxxxx&participant=xxxxxxxx@jabber.org"");
{code}

It is cause by the code 
{code}message.setFrom(endpoint.getUser());{code}

1. There is no need to set ""from"" field: smack will fetch this info from the connection info and will set it up properly.

2. I can't find the link, but according to common sence and examples in [Instant Messaging and Presence|http://www.ietf.org/rfc/rfc3921.txt]  ""from"" should be JID (Jabber ID) and not just user name!
{quote}
   <message
       to='romeo@example.net'
       from='juliet@example.com/balcony'
       type='chat'
       xml:lang='en'>
     <body>Wherefore art thou, Romeo?</body>
   </message>
{quote}


3. ""Normal"" message is just a hint to UI that the message is not part of conversation but a standalone message. It does not matter practically but ideologically  xmpp component will send messages as they flow and I'd say it is a conversation (or monologue to be precise). So no need to set ""Normal"" flag either. Smack will set it to the default ""chat"" type.",Critical,1.4.0,1.4.0,"",0,1,2008-07-12T19:53:22.000+0000,2008-07-23T03:57:31.000+0000,2008-07-12T20:38:03.000+0000,vchekan,Vadim Chekan,America/Los_Angeles,,,,vchekan,Vadim Chekan,America/Los_Angeles,camel
CAMEL-711,XMPP documentation needs to be updated - after latest patches etc.,Task,Done,Fixed,camel-xmpp;documentation,"We got a bunch of patches from Vadim and have a ticket for upgrade of the smack API to 3.0.x. When they are all done we should ensure that the wiki documentation is up-to-date.

Currently there are many options on the endpoint that is not documented at all on the wiki.
And there should be some samples as well.",Major,1.4.0,1.5.0,"",0,0,2008-07-12T19:44:11.000+0000,2008-10-23T04:37:12.000+0000,2008-08-23T13:37:02.000+0000,davsclaus,Claus Ibsen,Europe/Berlin,davsclaus,Claus Ibsen,Europe/Berlin,davsclaus,Claus Ibsen,Europe/Berlin,camel
CAMEL-710,Presence is sent twice by xmpp,Bug,Done,Fixed,camel-xmpp,"When using smack library sending presence message after login is redundant.
According to smack documentation (and confirmed by experiment) login sends the presence.
[http://www.igniterealtime.org/builds/smack/docs/latest/javadoc/org/jivesoftware/smack/XMPPConnection.html#login(java.lang.String,%20java.lang.String)]
{quote}Logs in to the server using the strongest authentication mode supported by the server, then *sets presence to available*{quote}",Minor,1.4.0,1.4.0,"",0,0,2008-07-12T19:08:50.000+0000,2008-07-23T03:57:31.000+0000,2008-07-12T19:41:45.000+0000,vchekan,Vadim Chekan,America/Los_Angeles,davsclaus,Claus Ibsen,Europe/Berlin,vchekan,Vadim Chekan,America/Los_Angeles,camel
CAMEL-709,CXF - Easier use for end-user to retreive POJO data,Improvement,Done,Fixed,camel-cxf,"I am working on a web app example that uses CXF to expose a webservice.

During the process I thought that getting my POJO object (InputReportIncident) was a bit clumsy as I had to do;

{code}
                MessageContentsList list = exchange.getIn().getBody(MessageContentsList.class);
                InputReportIncident in = (InputReportIncident) list.get(0);
{code}


So I have created a patch that improves the getBody to be more end-user friendly.
You can now do, as you always do in Camel:
{code}
                InputReportIncident in = exchange.getIn().getBody(InputReportIncident.class);
{code}

Just cast it to what you expect and want to work with.

InputReportIncident is a POJO object generated by the CXF wsdl2java generator.


*Willem could you take a look?* Maybe I have misunderstood the CXF and there is a easier way already. But I don't like the need to get the List and then get (0) to get my POJO.

Sending the response is already supported nicely:
{code}
                // the response
                OutputReportIncident out = new OutputReportIncident();
                out.setCode(""Bye Claus"");
                exchange.getOut().setBody(out);
{code}",Major,1.4.0,1.4.0,"",0,0,2008-07-12T14:30:53.000+0000,2008-07-23T03:57:31.000+0000,2008-07-14T05:51:10.000+0000,davsclaus,Claus Ibsen,Europe/Berlin,njiang,Willem Jiang,Asia/Shanghai,davsclaus,Claus Ibsen,Europe/Berlin,camel
CAMEL-708,CXF - Improve document for new end-users to CXF,Improvement,Done,Duplicate,camel-cxf;documentation;examples,"During my work on a new web app sample for Camel that exposes a webservice I have had to figure out a few issues working with the CXF.

Combined with this sample and the existing docuementation we could improve the documentation in regards to:
- use CXF in a webapp (war file)
- how to generate source code based on a wsdl (contract first)
- how to startup in jetty and test it
- how to get in / out source generated objects from Camel exchange
- how to use a POJO as the endpoint impl and then use eg. a producertemplate to send a message to camel routing.
- etc. etc.

",Major,1.4.0,1.5.0,"",0,0,2008-07-12T13:25:22.000+0000,2008-10-23T04:41:31.000+0000,2008-09-07T10:50:04.000+0000,davsclaus,Claus Ibsen,Europe/Berlin,davsclaus,Claus Ibsen,Europe/Berlin,davsclaus,Claus Ibsen,Europe/Berlin,camel
CAMEL-707,JMX Instrumentation - Nodeid can be null,Bug,Done,Fixed,camel-core,"The processors that is registered in JMX can have null in their id. So the JMX path is processor -> null -> 0.

Either we should replace null with unknown as we do for endpoints. Or try to fix that the id is generated.
",Minor,1.4.0,1.4.0,"",0,0,2008-07-12T06:29:31.000+0000,2008-07-17T12:01:14.000+0000,2008-07-12T08:43:15.000+0000,davsclaus,Claus Ibsen,Europe/Berlin,davsclaus,Claus Ibsen,Europe/Berlin,davsclaus,Claus Ibsen,Europe/Berlin,camel
CAMEL-706,TransactionErrorHandler - RedeliveryPolicy - Delay not working in all conditions,Sub-task,Done,Fixed,camel-core;camel-spring,See the parent issue.,Major,1.4.0,1.5.0,"",0,0,2008-07-12T05:45:52.000+0000,2008-10-23T04:37:12.000+0000,2008-09-10T19:52:34.000+0000,davsclaus,Claus Ibsen,Europe/Berlin,davsclaus,Claus Ibsen,Europe/Berlin,davsclaus,Claus Ibsen,Europe/Berlin,camel
CAMEL-705,Add support for MUC nickname for xmpp,Improvement,Done,Fixed,camel-xmpp,"According to XMPP standard user *have to* provide a nick name.
This patch adds a ""Nickname"" property to XmppEndpoint and modifies XmppGroupChatProducer so that if ""Nickanme"" property is set then use it as a room nick, otherwise use login name as a nick.",Minor,1.4.0,1.4.0,"",0,0,2008-07-12T05:45:19.000+0000,2008-07-23T03:57:31.000+0000,2008-07-12T18:20:28.000+0000,vchekan,Vadim Chekan,America/Los_Angeles,,,,vchekan,Vadim Chekan,America/Los_Angeles,camel
CAMEL-704,Replace Group Chat with Multi User Chat in xmpp component,Improvement,Done,Fixed,camel-xmpp,"According to XEP-0045: Multi-User Chat standard (http://www.xmpp.org/extensions/xep-0045.html) Multi User Chat is an old protocol which is supported for backward compatibility. It is better to use Multi User Chat because most servers support it.
",Minor,1.4.0,1.4.0,"",0,0,2008-07-12T04:40:34.000+0000,2008-07-23T03:57:31.000+0000,2008-07-12T05:06:39.000+0000,vchekan,Vadim Chekan,America/Los_Angeles,,,,vchekan,Vadim Chekan,America/Los_Angeles,camel
CAMEL-703,Test case for XMPP endpoint does not cover password property,Improvement,Done,Fixed,camel-xmpp,It is unusual for xmpp account to have no password but the password property is not tested in junits,Minor,1.4.0,1.4.0,"",0,0,2008-07-12T03:49:18.000+0000,2008-07-23T03:57:31.000+0000,2008-07-12T04:01:43.000+0000,vchekan,Vadim Chekan,America/Los_Angeles,,,,vchekan,Vadim Chekan,America/Los_Angeles,camel
